,max_depth,min_samples_leaf,min_samples_split,auc
0,,2,2,0.7298272158189737
1,,2,10,0.744837645692224
2,,2,100,0.7860601831511476
3,,2,1000,0.8164740996460095
4,,2,10000,0.8062891649211149
5,,2,50000,0.777565908696207
6,,10,2,0.764410481858088
7,,10,10,0.7646383083637264
8,,10,100,0.7878551216593137
9,,10,1000,0.813814991680921
10,,10,10000,0.8062569231087743
11,,10,50000,0.7776722377299276
12,,100,2,0.7921844486295105
13,,100,10,0.792236802036115
14,,100,100,0.7922976204814354
15,,100,1000,0.8045262139165776
16,,100,10000,0.7969534134273757
17,,100,50000,0.7717441084790618
18,,1000,2,0.7718477455455068
19,,1000,10,0.7718477455455068
20,,1000,100,0.7718477455455068
21,,1000,1000,0.7718477455455068
22,,1000,10000,0.764103813513876
23,,1000,50000,0.7422901087784779
24,,10000,2,0.6699842631100428
25,,10000,10,0.6699842631100428
26,,10000,100,0.6699842631100428
27,,10000,1000,0.6699842631100428
28,,10000,10000,0.6699842631100428
29,,10000,50000,0.649181380007264
30,,50000,2,0.5667590603682333
31,,50000,10,0.5667590603682333
32,,50000,100,0.5667590603682333
33,,50000,1000,0.5667590603682333
34,,50000,10000,0.5667590603682333
35,,50000,50000,0.5667590603682333
36,5.0,2,2,0.6745411468614421
37,5.0,2,10,0.6745408903973831
38,5.0,2,100,0.6745420157543959
39,5.0,2,1000,0.6745382089004798
40,5.0,2,10000,0.6720570343833778
41,5.0,2,50000,0.6720570343833778
42,5.0,10,2,0.6745397497568801
43,5.0,10,10,0.6745391365552027
44,5.0,10,100,0.6745434011673858
45,5.0,10,1000,0.6745389125426204
46,5.0,10,10000,0.6720570343833778
47,5.0,10,50000,0.6720570343833778
48,5.0,100,2,0.676646973533077
49,5.0,100,10,0.6766478673639053
50,5.0,100,100,0.676646973533077
51,5.0,100,1000,0.6766455688504323
52,5.0,100,10000,0.6720570343833778
53,5.0,100,50000,0.6720570343833778
54,5.0,1000,2,0.7461810671190501
55,5.0,1000,10,0.7461810671190501
56,5.0,1000,100,0.7461810671190501
