,max_depth,min_samples_leaf,min_samples_split,n_estimators,auc
0,,2,2,10,0.79690116611475
1,,2,2,50,0.819507565006121
2,,2,2,100,0.8235125381968018
3,,2,2,200,0.8275952694405687
4,,2,10,10,0.804377434984849
5,,2,10,50,0.8212748554852336
6,,2,10,100,0.8253225995453797
7,,2,10,200,0.8283799804712008
8,,2,100,10,0.8186246804250029
9,,2,100,50,0.8277059784448438
10,,2,100,100,0.8297828361081884
11,,2,100,200,0.8300669165371936
12,,2,1000,10,0.8220824426420703
13,,2,1000,50,0.8251006273209652
14,,2,1000,100,0.8260353213015106
15,,2,1000,200,0.8262833262629996
16,,2,10000,10,0.8072645937789404
17,,2,10000,50,0.8107220615786904
18,,2,10000,100,0.810371185651815
19,,2,10000,200,0.8106666598388541
20,,2,50000,10,0.7843518030609828
21,,2,50000,50,0.790519591152671
22,,2,50000,100,0.791582358425245
23,,2,50000,200,0.7924387237473649
24,,10,2,10,0.8140401359973921
25,,10,2,50,0.8257222466792202
26,,10,2,100,0.8292821435813252
27,,10,2,200,0.8300778544774274
28,,10,10,10,0.8129042078554605
29,,10,10,50,0.8267191963868251
30,,10,10,100,0.8288275987870598
31,,10,10,200,0.8298560907799903
32,,10,100,10,0.8190327583817092
33,,10,100,50,0.8281136938266556
34,,10,100,100,0.829536311550439
35,,10,100,200,0.8300873439984888
36,,10,1000,10,0.8224367285353965
37,,10,1000,50,0.8245579853713132
38,,10,1000,100,0.8247107920892105
39,,10,1000,200,0.8250079519151928
40,,10,10000,10,0.8051225836307095
41,,10,10000,50,0.8104300215087917
42,,10,10000,100,0.809383606188652
43,,10,10000,200,0.8102850091142033
44,,10,50000,10,0.785085493575937
45,,10,50000,50,0.7910433477598691
46,,10,50000,100,0.7909389681005428
47,,10,50000,200,0.7914151354534091
48,,100,2,10,0.8102716695658376
49,,100,2,50,0.8179607396382341
50,,100,2,100,0.8184940386377985
51,,100,2,200,0.8190063262530713
52,,100,10,10,0.8101992711365579
53,,100,10,50,0.8179561722225183
54,,100,10,100,0.8187617312364306
55,,100,10,200,0.8190375876467426
56,,100,100,10,0.8120599742284114
57,,100,100,50,0.818118447844116
58,,100,100,100,0.818364781861318
59,,100,100,200,0.8193595701157292
60,,100,1000,10,0.81151571198775
61,,100,1000,50,0.8143716431069979
62,,100,1000,100,0.8150701286965492
63,,100,1000,200,0.8156231464514297
64,,100,10000,10,0.7991081860142952
65,,100,10000,50,0.8026628995651363
66,,100,10000,100,0.8036853164021975
67,,100,10000,200,0.804339019304192
68,,100,50000,10,0.7760566559299473
69,,100,50000,50,0.7843096668314541
70,,100,50000,100,0.785284424294046
71,,100,50000,200,0.7860425455344389
72,,1000,2,10,0.7641786993534174
73,,1000,2,50,0.7706691603613182
74,,1000,2,100,0.7737906893550298
75,,1000,2,200,0.7729198278599411
76,,1000,10,10,0.7557147025321174
77,,1000,10,50,0.7712428022053837
78,,1000,10,100,0.7725330083361385
79,,1000,10,200,0.7735131866505985
80,,1000,100,10,0.7586055797498462
81,,1000,100,50,0.7729191615185629
82,,1000,100,100,0.7723424571248116
83,,1000,100,200,0.7737285844631601
84,,1000,1000,10,0.7480744997716045
85,,1000,1000,50,0.771541749776487
86,,1000,1000,100,0.7740737458510824
87,,1000,1000,200,0.7735457243423578
88,,1000,10000,10,0.7545061484020659
89,,1000,10000,50,0.7646801694149892
90,,1000,10000,100,0.7646931538694954
91,,1000,10000,200,0.7658797787273484
92,,1000,50000,10,0.7414539352547406
93,,1000,50000,50,0.7439376373818658
94,,1000,50000,100,0.7527807555917153
95,,1000,50000,200,0.7466744687938706
96,,10000,2,10,0.6448861436034559
97,,10000,2,50,0.6472563180273975
98,,10000,2,100,0.6521715013123729
99,,10000,2,200,0.647903609642627
100,,10000,10,10,0.6436470650847501
101,,10000,10,50,0.6498113680274841
102,,10000,10,100,0.6496724235196645
103,,10000,10,200,0.6549061083831607
104,,10000,100,10,0.6431849709804005
105,,10000,100,50,0.647117256023534
106,,10000,100,100,0.6504251974101108
107,,10000,100,200,0.6508536094798126
108,,10000,1000,10,0.6519503673366869
109,,10000,1000,50,0.6489839750417596
110,,10000,1000,100,0.651623678254851
111,,10000,1000,200,0.6535122951497054
112,,10000,10000,10,0.6465795959702281
113,,10000,10000,50,0.6520316503069281
114,,10000,10000,100,0.6546876298466067
115,,10000,10000,200,0.6499565105191237
116,,10000,50000,10,0.6502594560758157
117,,10000,50000,50,0.6576277963283922
118,,10000,50000,100,0.6530808875066272
119,,10000,50000,200,0.6540843479332025
120,,50000,2,10,0.5374445172957819
121,,50000,2,50,0.5530575454120343
122,,50000,2,100,0.5522835820678136
123,,50000,2,200,0.5561926943520166
124,,50000,10,10,0.5316978963979111
125,,50000,10,50,0.5566630604854592
126,,50000,10,100,0.5563169636379042
127,,50000,10,200,0.556812429081394
128,,50000,100,10,0.5341860975303269
129,,50000,100,50,0.5548260761941188
130,,50000,100,100,0.5517655866715909
131,,50000,100,200,0.5556389567920188
