,eta,eval_metric,max_depth,auc
0,0.1,auc,2,0.8097833626057962
1,0.1,auc,6,0.8415152460438768
2,0.1,auc,10,0.8448967479154194
3,0.1,auc,20,0.8356040957498552
4,0.2,auc,2,0.8282771471036121
5,0.2,auc,6,0.8451799972636577
6,0.2,auc,10,0.8406714259281245
7,0.2,auc,20,0.8143900001180476
8,0.5,auc,2,0.8404805444149952
9,0.5,auc,6,0.8342850059245908
10,0.5,auc,10,0.8088657913300057
11,0.5,auc,20,0.8047472712037995
12,0.75,auc,2,0.8414363997118055
13,0.75,auc,6,0.8172255323699457
14,0.75,auc,10,0.7916136409702857
15,0.75,auc,20,0.8028531880545329
16,1.0,auc,2,0.8326724426111112
17,1.0,auc,6,0.8027460249845848
18,1.0,auc,10,0.7851125835571254
19,1.0,auc,20,0.798280617685594
